"146","ARII","American Railcar Industries, Inc.","http://www.nasdaq.com/symbol/arii","Capital Goods","Railroads"
"147","ARCP","American Realty Capital Properties, Inc.","http://www.nasdaq.com/symbol/arcp","Consumer Services","Real Estate Investment Trusts"
"148","ARCPP","American Realty Capital Properties, Inc.","http://www.nasdaq.com/symbol/arcpp","Consumer Services","Real Estate Investment Trusts"
"149","AMRB","American River Bankshares","http://www.nasdaq.com/symbol/amrb","Finance","Major Banks"
"150","ASEI","American Science and Engineering, Inc.","http://www.nasdaq.com/symbol/asei","Health Care","Medical Electronics"
"151","AMSWA","American Software, Inc.","http://www.nasdaq.com/symbol/amswa","Technology","Computer Software: Prepackaged Software"
"152","AMSC","American Superconductor Corporation","http://www.nasdaq.com/symbol/amsc","Consumer Durables","Metal Fabrications"
"153","AMWD","American Woodmark Corporation","http://www.nasdaq.com/symbol/amwd","Basic Industries","Forest Products"
"154","CRMT","America&#39;s Car-Mart, Inc.","http://www.nasdaq.com/symbol/crmt","Consumer Durables","Automotive Aftermarket"
"155","ABCB","Ameris Bancorp","http://www.nasdaq.com/symbol/abcb","Finance","Major Banks"
"156","AMSF","AMERISAFE, Inc.","http://www.nasdaq.com/symbol/amsf","Finance","Property-Casualty Insurers"
"157","ASRV","AmeriServ Financial Inc.","http://www.nasdaq.com/symbol/asrv","Finance","Major Banks"
"158","ASRVP","AmeriServ Financial Inc.","http://www.nasdaq.com/symbol/asrvp","Finance","Major Banks"
"159","ATLO","Ames National Corporation","http://www.nasdaq.com/symbol/atlo","Finance","Major Banks"
"160","AMGN","Amgen Inc.","http://www.nasdaq.com/symbol/amgn","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"161","FOLD","Amicus Therapeutics, Inc.","http://www.nasdaq.com/symbol/fold","Health Care","Major Pharmaceuticals"
"162","AMKR","Amkor Technology, Inc.","http://www.nasdaq.com/symbol/amkr","Technology","Semiconductors"
"163","AMPH","Amphastar Pharmaceuticals, Inc.","http://www.nasdaq.com/symbol/amph","Health Care","Major Pharmaceuticals"
"164","AMSG","Amsurg Corp.","http://www.nasdaq.com/symbol/amsg","Health Care","Medical/Nursing Services"
"165","AMSGP","Amsurg Corp.","http://www.nasdaq.com/symbol/amsgp","Health Care","Medical/Nursing Services"
"166","ASYS","Amtech Systems, Inc.","http://www.nasdaq.com/symbol/asys","Technology","Industrial Machinery/Components"
"167","AFSI","AmTrust Financial Services, Inc.","http://www.nasdaq.com/symbol/afsi","Finance","Property-Casualty Insurers"
"168","AMRS","Amyris, Inc.","http://www.nasdaq.com/symbol/amrs","Basic Industries","Major Chemicals"
"169","ANAC","Anacor Pharmaceuticals, Inc.","http://www.nasdaq.com/symbol/anac","Health Care","Major Pharmaceuticals"
"170","ANAD","ANADIGICS, Inc.","http://www.nasdaq.com/symbol/anad","Technology","Semiconductors"
"171","ADI","Analog Devices, Inc.","http://www.nasdaq.com/symbol/adi","Technology","Semiconductors"
"172","ALOG","Analogic Corporation","http://www.nasdaq.com/symbol/alog","Capital Goods","Electrical Products"
"173","ANCB","Anchor Bancorp","http://www.nasdaq.com/symbol/ancb","Finance","Banks"
"174","ABCW","Anchor BanCorp Wisconsin Inc.","http://www.nasdaq.com/symbol/abcw","Finance","Banks"
"175","AMCF","Andatee China Marine Fuel Services Corporation","http://www.nasdaq.com/symbol/amcf","Energy","Oil Refining/Marketing"
"176","ANGI","Angie&#39;s List, Inc.","http://www.nasdaq.com/symbol/angi","Consumer Services","Advertising"
"177","ANGO","AngioDynamics, Inc.","http://www.nasdaq.com/symbol/ango","Health Care","Medical/Dental Instruments"
"178","ANIP","ANI Pharmaceuticals, Inc.","http://www.nasdaq.com/symbol/anip","Health Care","Major Pharmaceuticals"
"179","ANIK","Anika Therapeutics Inc.","http://www.nasdaq.com/symbol/anik","Health Care","Medical/Dental Instruments"
